,name,github_id,resource,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,licenses,apt_id
0,Public APIs,public-apis/public-apis,True,third-party-apis,https://github.com/public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20 23:49:42.000000,2021-02-25 13:32:18.000000,2021-02-22 19:43:45.000000,13128.0,56.0,165.0,111439.0,2277.0,A collective list of free APIs for use in software and web development.,660.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OpenAPI-Specification,OAI/OpenAPI-Specification,True,openapi-utils,https://github.com/OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,2014-03-03 16:53:36.000000,2021-02-23 19:50:32.000000,2021-02-16 19:30:29.000000,7189.0,481.0,1176.0,20171.0,1856.0,The OpenAPI Specification Repository.,184.0,0,True,['openapi'],Apache-2.0,2021-02-16 19:33:45.000000,3.1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GraphQL Specification,graphql/graphql-spec,True,graphql,https://github.com/graphql/graphql-spec,https://github.com/graphql/graphql-spec,2015-07-01 01:26:56.000000,2021-02-19 17:46:00.000000,2021-02-04 22:57:35.000000,995.0,128.0,316.0,13164.0,,GraphQL is a query language and execution engine tied to any backend service.,115.0,0,True,,,2018-06-11 02:45:19.000000,June2018,5.0,202.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-ml-python - DB Clients,ml-tooling/best-of-ml-python,True,third-party-apis,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36.000000,2021-02-25 14:21:47.000000,2021-02-18 16:39:52.000000,527.0,3.0,10.0,4235.0,,Collection of python database client libraries.,17.0,0,True,,CC-BY-SA-4.0,2021-02-18 16:40:16.000000,2021.02.18,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,django,django/django,,web-frameworks,https://github.com/django/django,https://github.com/django/django,2012-04-28 02:47:18.000000,2021-02-25 14:04:32.000000,2021-02-24 20:32:37.000000,23918.0,163.0,,55799.0,29290.0,The Web framework for perfectionists with deadlines.,2474.0,41,True,['django'],BSD-3-Clause,2021-02-19 09:08:09.000000,3.1.7,250.0,,2824042.0,conda-forge/django,django,846154.0,615404.0,https://pypi.org/project/django,2021-02-19 09:08:09.000000,230750.0,2811187.0,https://anaconda.org/conda-forge/django,2021-02-19 11:08:20.419000,758454.0,1.0,,,,,,,,,,,,,,,,,,
5,requests,psf/requests,,http-clients,https://github.com/psf/requests,https://github.com/psf/requests,2011-02-13 18:38:17.000000,2021-02-24 17:19:48.000000,2021-02-24 17:19:48.000000,8155.0,312.0,3098.0,44659.0,6020.0,"A simple, yet elegant HTTP library.",678.0,41,True,,Apache-2.0,2020-12-16 19:38:34.000000,2.25.1,139.0,,55355852.0,conda-forge/requests,requests,1164413.0,859957.0,https://pypi.org/project/requests,2020-12-16 19:38:34.000000,304456.0,55189051.0,https://anaconda.org/conda-forge/requests,2020-12-16 22:06:36.742000,9340884.0,1.0,,,,,,,,,,,,,,,,,,
6,flask,pallets/flask,,web-frameworks,https://github.com/pallets/flask,https://github.com/pallets/flask,2010-04-06 11:11:59.000000,2021-02-24 21:49:26.000000,2021-02-24 18:35:16.000000,14118.0,23.0,2035.0,54011.0,4131.0,The Python micro framework for building web applications.,712.0,39,True,['flask'],BSD-3-Clause,2020-04-03 17:22:22.000000,1.1.2,34.0,4803.0,8178069.0,conda-forge/flask,flask,905472.0,672872.0,https://pypi.org/project/flask,2020-04-03 17:17:53.000000,232600.0,8147571.0,https://anaconda.org/conda-forge/flask,2020-04-03 22:37:56.556000,1639297.0,1.0,,,,,,,,,,,,,,,,,,
7,Scrapy,scrapy/scrapy,,web-scraping,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,2010-02-22 02:01:14.000000,2021-02-25 14:00:15.000000,2021-02-24 21:00:55.000000,9042.0,774.0,1919.0,39874.0,8616.0,"Scrapy, a fast high-level web crawling & scraping framework for Python.",462.0,38,True,,BSD-3-Clause,2020-11-17 21:01:36.000000,2.4.1,80.0,,1037433.0,conda-forge/scrapy,scrapy,31148.0,22778.0,https://pypi.org/project/scrapy,2020-11-17 12:04:15.000000,8370.0,1029732.0,https://anaconda.org/conda-forge/scrapy,2021-02-24 12:22:36.027000,400497.0,1.0,,,,,,,,,,,,,,,,,,
8,django-rest-framework,encode/django-rest-framework,,web-frameworks,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56.000000,2021-02-24 12:00:19.000000,2021-02-16 12:17:29.000000,5559.0,362.0,3400.0,20343.0,8357.0,Web APIs for Django.,1166.0,38,True,['django'],BSD-3-Clause,2019-04-29 14:36:10.000000,3.9.3,35.0,,504987.0,conda-forge/djangorestframework,django-rest-framework,200403.0,199657.0,https://pypi.org/project/django-rest-framework,2017-07-20 17:14:33.000000,746.0,499343.0,https://anaconda.org/conda-forge/djangorestframework,2021-01-06 15:12:24.047000,333033.0,1.0,,,,,,,,,,,,,,,,,,
9,aiohttp,aio-libs/aiohttp,,http-clients,https://github.com/aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,2013-10-01 23:04:01.000000,2021-02-25 12:49:33.000000,2021-02-25 00:29:45.000000,1553.0,353.0,2044.0,10872.0,7228.0,Asynchronous HTTP client/server framework for asyncio and Python.,568.0,38,True,,Apache-2.0,2020-11-18 19:38:17.000000,3.7.3,212.0,790.0,14123904.0,conda-forge/aiohttp,aiohttp,90948.0,76238.0,https://pypi.org/project/aiohttp,2020-11-18 17:46:55.000000,14710.0,14090869.0,https://anaconda.org/conda-forge/aiohttp,2021-02-25 08:40:43.398000,1486096.0,1.0,,,,,,,,,,,,,,,,,,
