,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,new_addition,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,licenses,apt_id
0,Public APIs,public-apis/public-apis,True,third-party-apis,https://github.com/public-apis/public-apis,https://github.com/public-apis/public-apis,MIT,2016-03-20 23:49:42.000000,2021-06-27 20:57:04.000000,2021-06-27 20:57:04.000000,15321.0,56.0,203.0,133243.0,2962.0,A collective list of free APIs.,886.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OpenAPI-Specification,OAI/OpenAPI-Specification,True,openapi-utils,https://github.com/OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,Apache-2.0,2014-03-03 16:53:36.000000,2021-06-28 08:58:58.000000,2021-06-24 16:57:21.000000,7534.0,497.0,1249.0,21199.0,,The OpenAPI Specification Repository.,187.0,0,True,['openapi'],2021-02-16 19:33:45.000000,3.1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GraphQL Specification,graphql/graphql-spec,True,graphql,https://github.com/graphql/graphql-spec,https://github.com/graphql/graphql-spec,,2015-07-01 01:26:56.000000,2021-07-01 09:37:14.000000,2021-07-01 09:37:13.000000,1053.0,138.0,324.0,13372.0,,GraphQL is a query language and execution engine tied to any backend service.,118.0,0,True,,2018-06-11 02:45:19.000000,June2018,5.0,293.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-ml-python - DB Clients,ml-tooling/best-of-ml-python,True,third-party-apis,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-07-01 14:04:40.000000,2021-06-29 14:46:55.000000,697.0,5.0,18.0,5393.0,,Collection of python database client libraries.,19.0,0,True,,2021-06-28 20:34:26.000000,2021.06.24,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,requests,psf/requests,,http-clients,https://github.com/psf/requests,https://github.com/psf/requests,Apache-2.0,2011-02-13 18:38:17.000000,2021-06-30 21:29:36.000000,2021-06-01 04:23:54.000000,8296.0,326.0,3146.0,45543.0,6030.0,"A simple, yet elegant HTTP library.",685.0,40,True,,2020-12-16 19:38:34.000000,2.25.1,139.0,,119723510.0,conda-forge/requests,requests,1325030.0,1020574.0,https://pypi.org/project/requests,2020-12-16 19:38:34.000000,304456.0,119536397.0,https://anaconda.org/conda-forge/requests,2020-12-16 22:06:36.742000,11413901.0,1.0,,,,,,,,,,,,,,,,,,,
5,django-rest-framework,encode/django-rest-framework,,web-frameworks,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,BSD-3-Clause,2011-03-02 17:13:56.000000,2021-07-01 14:04:44.000000,2021-07-01 14:04:44.000000,5740.0,249.0,3552.0,21280.0,8437.0,Web APIs for Django.,1212.0,39,True,['django'],2021-05-31 07:29:11.000000,3.12.4,37.0,,1171031.0,conda-forge/djangorestframework,django-rest-framework,235441.0,234695.0,https://pypi.org/project/django-rest-framework,2017-07-20 17:14:33.000000,746.0,1165346.0,https://anaconda.org/conda-forge/djangorestframework,2021-03-26 11:25:51.529000,363846.0,1.0,,,,,,,,,,,,,,,,,,,
6,aiohttp,aio-libs/aiohttp,,http-clients,https://github.com/aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,Apache-2.0,2013-10-01 23:04:01.000000,2021-07-01 12:46:30.000000,2021-06-29 17:15:40.000000,1608.0,406.0,2095.0,11364.0,7350.0,Asynchronous HTTP client/server framework for asyncio and Python.,580.0,39,True,,2021-02-25 17:50:09.000000,3.7.4,213.0,841.0,27304974.0,conda-forge/aiohttp,aiohttp,113638.0,98928.0,https://pypi.org/project/aiohttp,2021-02-25 17:50:09.000000,14710.0,27255980.0,https://anaconda.org/conda-forge/aiohttp,2021-06-14 15:37:28.220000,2449155.0,1.0,,,,,,,,,,,,,,,,,,,
7,django,django/django,,web-frameworks,https://github.com/django/django,https://github.com/django/django,BSD-3-Clause,2012-04-28 02:47:18.000000,2021-07-01 14:12:45.780000,2021-07-01 10:42:32.000000,24904.0,174.0,,58251.0,,The Web framework for perfectionists with deadlines.,2536.0,38,True,['django'],2021-07-01 07:40:00.000000,3.2.5,270.0,,7779208.0,conda-forge/django,django,934064.0,703314.0,https://pypi.org/project/django,2021-07-01 07:40:00.000000,230750.0,7765298.0,https://anaconda.org/conda-forge/django,2021-07-01 14:12:45.780000,890258.0,1.0,,,,,,,,,,,,,,,,,,,
8,flask,pallets/flask,,web-frameworks,https://github.com/pallets/flask,https://github.com/pallets/flask,BSD-3-Clause,2010-04-06 11:11:59.000000,2021-07-01 10:54:54.000000,2021-07-01 10:54:54.000000,14380.0,24.0,2145.0,55882.0,,The Python micro framework for building web applications.,726.0,38,True,['flask'],2021-05-21 15:57:22.000000,2.0.1,40.0,4880.0,32237824.0,conda-forge/flask,flask,1013014.0,780414.0,https://pypi.org/project/flask,2021-05-21 15:53:08.000000,232600.0,32203797.0,https://anaconda.org/conda-forge/flask,2021-05-21 20:48:08.928000,2000272.0,1.0,,,,,,,,,,,,,,,,,,,
9,Scrapy,scrapy/scrapy,,web-scraping,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,BSD-3-Clause,2010-02-22 02:01:14.000000,2021-06-30 19:40:33.000000,2021-06-29 12:54:22.000000,9194.0,809.0,1988.0,40938.0,8891.0,"Scrapy, a fast high-level web crawling & scraping framework for Python.",478.0,38,True,,2021-04-06 15:03:47.000000,2.5.0,80.0,,962072.0,conda-forge/scrapy,scrapy,33359.0,24989.0,https://pypi.org/project/scrapy,2020-11-17 12:04:15.000000,8370.0,954121.0,https://anaconda.org/conda-forge/scrapy,2021-04-15 19:47:09.943000,453246.0,1.0,,,,,,,,,,,,,,,,,,,
