,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,labels,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,apt_id,licenses
0,Public APIs,public-apis/public-apis,third-party-apis,True,https://github.com/public-apis/public-apis,https://github.com/public-apis/public-apis,MIT,2016-03-20 23:49:42.000,2023-07-19 15:55:52.000,2022-07-19 13:39:16,4527.0,28526,3891.0,3006.0,195.0,461.0,248797,A collective list of free APIs.,2.0,2.0,1378.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OpenAPI-Specification,OAI/OpenAPI-Specification,openapi-utils,True,https://github.com/OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,Apache-2.0,2014-03-03 16:53:36.000,2023-07-17 11:12:41.000,2023-05-11 15:37:06,1964.0,9104,850.0,1069.0,573.0,1483.0,26817,The OpenAPI Specification Repository.,,,218.0,0,True,['openapi'],2.0,2021-02-16 19:33:45.000,3.1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GraphQL Specification,graphql/graphql-spec,graphql,True,https://github.com/graphql/graphql-spec,https://github.com/graphql/graphql-spec,,2015-07-01 01:26:56.000,2023-07-18 19:53:45.000,2023-07-08 09:20:59,586.0,1171,532.0,501.0,185.0,348.0,14083,GraphQL is a query language and execution engine tied to any backend service.,1.0,1.0,128.0,0,True,,2.0,2021-10-27 00:01:28.000,October2021,6.0,366.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-ml-python - DB Clients,ml-tooling/best-of-ml-python,third-party-apis,True,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2023-07-20 15:20:02.000,2023-07-20 15:20:01,400.0,2050,376.0,209.0,16.0,31.0,14030,Collection of python database client libraries.,,,39.0,0,True,,31.0,2023-07-20 15:20:08.000,2023.07.20,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,flask,pallets/flask,web-frameworks,,https://github.com/pallets/flask,https://github.com/pallets/flask,BSD-3-Clause,2010-04-06 11:11:59.000,2023-07-18 04:14:47.000,2023-07-01 16:24:20,5118.0,15774,2142.0,2436.0,3.0,2521.0,63636,The Python micro framework for building web applications.,1655073.0,1532339.0,820.0,50,True,['flask'],103.0,2023-05-02 14:44:44.419,2.2.5,55.0,6337.0,89620459.0,conda-forge/flask,flask,https://pypi.org/project/flask,2023-05-02 14:44:44.419,122734.0,89550107.0,https://anaconda.org/conda-forge/flask,2023-06-16 13:23:39.602,5830989.0,1.0,,,,,,,,,,,,,,,,,,
5,requests,psf/requests,http-clients,,https://github.com/psf/requests,https://github.com/psf/requests,Apache-2.0,2011-02-13 18:38:17.000,2023-07-07 16:06:30.000,2023-07-03 20:38:22,6158.0,9137,1346.0,2407.0,279.0,3584.0,49926,"A simple, yet elegant, HTTP library.",2519808.0,2316581.0,732.0,49,True,,15.0,2023-05-22 15:26:23.000,2.31.0,149.0,5926.0,284723475.0,conda-forge/requests,requests,https://pypi.org/project/requests,2020-12-16 19:38:34.000,203227.0,284309143.0,https://anaconda.org/conda-forge/requests,2023-06-16 13:18:00.202,35190264.0,1.0,,,,,,,,,,,,,,,,,,
6,django,django/django,web-frameworks,,https://github.com/django/django,https://github.com/django/django,BSD-3-Clause,2012-04-28 02:47:18.000,2023-07-20 15:53:14.000,2023-07-19 19:46:20,31873.0,29509,2268.0,17041.0,143.0,,72046,The Web framework for perfectionists with deadlines.,1482507.0,1359237.0,2955.0,48,True,['django'],218.0,2023-07-03 08:00:04.518,4.1.10,327.0,,10115312.0,conda-forge/django,django,https://pypi.org/project/django,2023-07-03 08:00:04.518,123270.0,10074633.0,https://anaconda.org/conda-forge/django,2023-07-03 13:52:40.232,1505140.0,1.0,,,,,,,,,,,,,,,,,,
7,grpc,grpc/grpc,rpc,,https://github.com/grpc/grpc,https://github.com/grpc/grpc,Apache-2.0,2014-12-08 18:58:53.000,2023-07-20 16:22:34.000,2023-07-20 16:22:33,53387.0,10319,1369.0,22650.0,829.0,10257.0,38468,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#).",9511.0,4418.0,960.0,48,True,,466.0,2023-07-19 18:56:39.000,1.56.2,222.0,29304.0,61447924.0,conda-forge/grpcio,grpcio,https://pypi.org/project/grpcio,2023-07-19 18:56:39.000,5093.0,61201065.0,https://anaconda.org/conda-forge/grpcio,2023-07-15 09:00:49.550,9097682.0,1.0,,,,,,,,,,,,,,,,,,
8,selenium,SeleniumHQ/selenium,testing,,https://github.com/SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,Apache-2.0,2013-01-14 21:40:56.000,2023-07-20 12:10:50.000,2023-07-20 11:06:36,29960.0,7659,1322.0,3072.0,218.0,9002.0,27083,A browser automation framework and ecosystem.,232720.0,216207.0,818.0,48,True,,392.0,2023-06-07 16:19:19.728,4.10.0,182.0,10458075.0,10828260.0,conda-forge/selenium,selenium,https://pypi.org/project/selenium,2023-06-07 16:19:19.728,16513.0,10697499.0,https://anaconda.org/conda-forge/selenium,2023-06-08 16:02:07.973,1126734.0,1.0,,,,,,,,,,,,,,,,,,
9,fastapi,tiangolo/fastapi,web-frameworks,,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47.000,2023-07-20 12:47:31.000,2023-07-09 15:45:55,3037.0,5078,638.0,2461.0,464.0,3322.0,60572,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",211131.0,208807.0,472.0,46,True,"['fastapi', 'openapi']",241.0,2023-07-07 17:34:27.284,0.100.0,174.0,,16959257.0,conda-forge/fastapi,fastapi,https://pypi.org/project/fastapi,2023-07-07 17:34:27.284,2324.0,16917136.0,https://anaconda.org/conda-forge/fastapi,2023-07-07 19:16:19.663,1600606.0,1.0,,,,,,,,,,,,,,,,,,
